Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Poaceae	Agrostis mertensii Trin.	Agrostis mertensii Trin.	F	AK taxon list	
Poaceae	Agrostis scabra Willd.	Agrostis scabra Willd.	F	AK taxon list	
Poaceae	Agrostis  	Agrostis  	F		
Poaceae	Agrostis stolonifera L.	Agrostis stolonifera L.	F	AK taxon list	
Poaceae	Agrostis tenuis Sibth.	Agrostis tenuis Sibth.	F	AK taxon list	
Poaceae	Agrostis trinii Turcz.	Agrostis trinii Turcz.	F	AK taxon list	
Caryophyllaceae	Agrostemma githago L.	Agrostemma githago L.	T	AK taxon list	
Poaceae	Aira caryophyllea L.	Aira caryophyllea L.	F	AK taxon list	
Asteraceae	Ajania khartensis (Dunn) Shih	Ajania khartensis (Dunn) Shih	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Rosaceae	Alchemilla vulgaris L.	Alchemilla vulgaris L.	F	AK taxon list	
Alismataceae	Alisma plantago-aquatica L.	Alisma plantago-aquatica L.	T		FNA vol. 22; /
Alismataceae	Alisma plantago-aquatica L. var. americanum Schult. & Schult.f.	Alisma triviale Pursh	T		Elven, R.  et al. 2003; /
Alismataceae	Alisma plantago-aquatica L. subsp. brevipes (Greene) Sam.	Alisma triviale Pursh	T		Elven, R.  et al. 2003; /
Alismataceae	Alisma triviale Pursh	Alisma triviale Pursh	T	Haynes annos	Haynes annos; Haynes annos/
Liliaceae	Allium carolinianum DC.	Allium carolinianum DC.	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Liliaceae	Allium fistulosum L.	Allium fistulosum L.	F		
Liliaceae	Allium schoenoprasum L.	Allium schoenoprasum L.	T	AK taxon list	
Liliaceae	Allium schoenoprasum L. var. sibiricum auct.	Allium schoenoprasum L.	T		Elven, R.  et al. 2003; /
Liliaceae	Allium strictum Schrad.	Allium strictum Schrad.	F		
Liliaceae	Allium victorialis L.	Allium victorialis L.	T	AK taxon list	
Liliaceae	Allium victorialis L. subsp. platyphyllum Hult始	Allium victorialis L.	T		FNA 26; Flora of North America volume 26/
Betulaceae	Alnus crispa (Aiton) Pursh	Alnus viridis (Vill.) DC. subsp. crispa (Aiton) A.Love & D.Love	F		
Betulaceae	Alnus fruticosa (Rupr.) Ledeb.	Alnus viridis (Vill.) DC. subsp. fruticosa (Rupr.) Nyman	T	FNA, Alaskan specimens	Furlow 1997; Furlow, J. J. 1997. Betulaceae.  Pages 507-538 in Flora North America Vol. 3. Oxford U. Press./
Betulaceae	Alnus incana (L.) Moench	Alnus incana (L.) Moench	F		
Betulaceae	Alnus incana (L.) Moench subsp. tenuifolia (Nutt.) Breitung	Alnus incana (L.) Moench subsp. tenuifolia (Nutt.) Breitung	T		
Betulaceae	Alnus rubra Bong.	Alnus rubra Bong.	T	AK taxon list	
Betulaceae	Alnus sinuata (Regel) Rydb.	Alnus viridis (Vill.) DC. subsp. sinuata (Regel) A.Love & D.Love	T	FNA	Furlow 1997; Furlow, J. J. 1997. Betulaceae.  Pages 507-538 in Flora North America Vol. 3. Oxford U. Press./
Betulaceae	Alnus  	Alnus  	F	consistency	
Betulaceae	Alnus tenuifolia Nutt.	Alnus incana (L.) Moench subsp. tenuifolia (Nutt.) Breitung	T	FNA	Furlow 1997; Furlow, J. J. 1997. Betulaceae.  Pages 507-538 in Flora North America Vol. 3. Oxford U. Press./
Betulaceae	Alnus viridis (Vill.) DC.	Alnus viridis (Vill.) DC.	F	AK taxon list	
Betulaceae	Alnus viridis (Vill.) DC. subsp. crispa (Aiton) A.Love & D.Love	Alnus viridis (Vill.) DC. subsp. crispa (Aiton) A.Love & D.Love	F		
