Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Scrophulariaceae	Mimulus lewisii Pursh	Mimulus lewisii Pursh	T	AK taxon list	
Caryophyllaceae	Minuartia arctica (Steven ex Ser.) Graebn.	Minuartia arctica (Steven ex Ser.) Graebn.	T	AK taxon list	
Caryophyllaceae	Minuartia biflora (L.) Schinz & Thell.	Minuartia biflora (L.) Schinz & Thell.	T	AK taxon list	
Caryophyllaceae	Minuartia dawsonensis (Britton) House	Minuartia dawsonensis (Britton) House	T	AK taxon list	
Caryophyllaceae	Minuartia elegans (Cham. & Schltdl.) Schischk.	Minuartia elegans (Cham. & Schltdl.) Schischk.	T	AK taxon list	
Caryophyllaceae	Minuartia macrocarpa (Pursh) Ostenf.	Minuartia macrocarpa (Pursh) Ostenf.	T	AK taxon list	
Caryophyllaceae	Minuartia obtusiloba (Rydb.) House	Minuartia obtusiloba (Rydb.) House	T	AK taxon list	
Caryophyllaceae	Minuartia rossii (R.Br. ex Richardson) Graebn.	Minuartia rossii (R.Br. ex Richardson) Graebn.	T	AK taxon list	
Caryophyllaceae	Minuartia rossii (R.Br. ex Richardson) Graebn. var. elegans (Cham. & Schltdl.) Hult始	Minuartia elegans (Cham. & Schltdl.) Schischk.	T		FNA 5; Flora of North America, vol. 5/
Caryophyllaceae	Minuartia rossii (R.Br. ex Richardson) Graebn. var. orthotrichoides (Schischk.) Hult始	Minuartia rossii (R.Br. ex Richardson) Graebn.	T		FNA 5; Flora of North America, vol. 5/
Caryophyllaceae	Minuartia rossii (R.Br. ex Richardson) Graebn. subsp. elegans (Cham. & Schltdl.) Rebrist.	Minuartia elegans (Cham. & Schltdl.) Schischk.	T		FNA 5; Flora of North America, vol. 5/
Caryophyllaceae	Minuartia rubella (Wahlenb.) Hiern	Minuartia rubella (Wahlenb.) Hiern	T	AK taxon list	
Caryophyllaceae	Minuartia  	Minuartia  	F		
Caryophyllaceae	Minuartia stricta (Sw.) Hiern	Minuartia stricta (Sw.) Hiern	T	AK taxon list	
Caryophyllaceae	Minuartia verna (L.) Hiern	Minuartia verna (L.) Hiern	F	Arctic Flora USSR	
Caryophyllaceae	Minuartia yukonensis Hult始	Minuartia yukonensis Hult始	T	AK taxon list	
Polemoniaceae	Microsteris gracilis (Douglas) Greene	Microsteris gracilis (Douglas) Greene	T	AK taxon list	
Asteraceae	Microseris borealis (Bong.) Sch.Bip.	Microseris borealis (Bong.) Sch.Bip.	T	ALA taxon list	
Saxifragaceae	Mitella nuda L.	Mitella nuda L.	T	AK taxon list	
Saxifragaceae	Mitella pentandra Hook.	Mitella pentandra Hook.	T	AK taxon list	
Saxifragaceae	Mitella trifida Graham	Mitella trifida Graham	F	AK taxon list	
Caryophyllaceae	Moehringia lateriflora (L.) Fenzl	Moehringia lateriflora (L.) Fenzl	T	AK taxon list	
Chenopodiaceae	Monolepis nuttalliana (Schult.) Greene	Monolepis nuttalliana (Schult.) Greene	T	AK taxon list	
Portulacaceae	Montia bostockii (A.E.Porsild) S.L.Welsh	Claytoniella bostockii (A.E.Porsild) Jurtzev	T	PAF Checklist	Pan Arctic Flora Checklist; Pan Arctic Flora Checklist/
Portulacaceae	Montia chamissoi (Ledeb. ex Sprengel) Greene	Montia chamissoi (Ledeb. ex Sprengel) Greene	T		FNA 4; Flora of North America volume 4/
Portulacaceae	Montia fontana L.	Montia fontana L.	T	AK taxon list	
Portulacaceae	Montia lamprosperma Cham.	Montia fontana L.	T		Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Portulacaceae	Montia parvifolia (DC.) Greene	Montia parvifolia (DC.) Greene	T		FNA 4; Flora of North America volume 4/
Portulacaceae	Montia perfoliata (Donn ex Willd.) Howell	Claytonia perfoliata Donn ex Willd.	T		FNA 4; Flora of North America volume 4/
Portulacaceae	Montia sarmentosa (C.A.Mey.) B.L.Rob.	Claytonia sarmentosa C.A.Mey.	T		FNA 4; Flora of North America volume 4/
Portulacaceae	Montia scammaniana (Hult始) S.L.Welsh	Claytonia scammaniana Hult始	T		FNA 4; Flora of North America volume 4/
Portulacaceae	Montia sibirica (L.) Howell	Claytonia sibirica L.	T		FNA 4; Flora of North America volume 4/
Pyrolaceae	Moneses uniflora (L.) A.Gray	Moneses uniflora (L.) A.Gray	T	AK taxon list	
Pyrolaceae	Moneses uniflora (L.) A.Gray var. reticulata (Nutt.) S.F.Blake	Moneses uniflora (L.) A.Gray	T		Elven, R.  et al. 2003; /
Pyrolaceae	Moneses uniflora (L.) A.Gray subsp. reticulata (Nutt.) Calder & R.L.Taylor	Moneses uniflora (L.) A.Gray	T		Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Pyrolaceae	Monotropa hypopitys L.	Monotropa hypopitys L.	F	AK taxon list	
Pyrolaceae	Monotropa hypopitys L. subsp. lanuginosa (Michx.) H.Hara	Monotropa hypopitys L. subsp. lanuginosa (Michx.) H.Hara	F	AK taxon list	
Pyrolaceae	Monotropa uniflora L.	Monotropa uniflora L.	F	AK taxon list	
Poaceae	Muhlenbergia glomerata (Willd.) Trin.	Muhlenbergia glomerata (Willd.) Trin.	F	AK taxon list	
Poaceae	Muhlenbergia glomerata (Willd.) Trin. var. cinnoides (Link) F.J.Herm.	Muhlenbergia glomerata (Willd.) Trin. var. cinnoides (Link) F.J.Herm.	F	AK taxon list	
Poaceae	Muhlenbergia richardsonis (Trin.) Rydb.	Muhlenbergia richardsonis (Trin.) Rydb.	F	AK taxon list	
Asteraceae	Mulgedium pulchellum (Pursh) G.Don	Mulgedium pulchellum (Pursh) G.Don	T		FNA 19; /
Boraginaceae	Myosotis alpestris F.W.Schmidt	Myosotis alpestris F.W.Schmidt	F	AK taxon list	
Boraginaceae	Myosotis alpestris F.W.Schmidt subsp. asiatica Vestergr.	Myosotis alpestris F.W.Schmidt subsp. asiatica Vestergr.	T	AK taxon list	
Boraginaceae	Myosotis palustris L.	Myosotis palustris L.	T	AK taxon list	
Haloragaceae	Myriophyllum exalbescens Fernald	Myriophyllum sibiricum Kom.	T		Elven, R.  et al. 2003; /
Haloragaceae	Myriophyllum farwellii Morong	Myriophyllum farwellii Morong	F		
Haloragaceae	Myriophyllum sibiricum Kom.	Myriophyllum sibiricum Kom.	T		
Haloragaceae	Myriophyllum  	Myriophyllum  	F	consistency	
Haloragaceae	Myriophyllum spicatum auct.	Myriophyllum sibiricum Kom.	T		Elven, R.  et al. 2003; /
Haloragaceae	Myriophyllum verticillatum L.	Myriophyllum verticillatum L.	T	AK taxon list	
Haloragaceae	Myriophyllum verticillatum L. var. pectinatum Wallr.	Myriophyllum verticillatum L.	T		Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Haloragaceae	Myriophyllum verticillatum L. var. pinnatifidum Wallr.	Myriophyllum verticillatum L.	T		Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Myricaceae	Myrica gale L.	Myrica gale L.	F	AK taxon list	
Myricaceae	Myrica gale L. var. tomentosa C.DC.	Myrica gale L. var. tomentosa C.DC.	F	AK taxon list	
Najadaceae	Najas flexilis (Willd.) Rostk. & Schmidt	Najas flexilis (Willd.) Rostk. & Schmidt	F	Hitchc. et al.	
Brassicaceae	Nasturtium officinale R.Br.	Nasturtium officinale R.Br.	F	AK taxon list	
Hydrophyllaceae	Nemophila menziesii Hook. & Arn.	Nemophila menziesii Hook. & Arn.	T	AK taxon list	
Lamiaceae	Nepeta cataria L.	Nepeta cataria L.	T	AK taxon list	
Brassicaceae	Neslia paniculata (L.) Desv.	Neslia paniculata (L.) Desv.	T	AK taxon list	
Brassicaceae	Neotorularia humilis (C.A.Mey.) Hedge & J.Leonard	Torularia humilis (C.A.Mey.) O.E.Schulz	F		ALA Taxon List; ALA Taxon List/
Brassicaceae	Noccaea arctica (A.E.Porsild) Holub	Noccaea arctica (A.E.Porsild) Holub	T		FNA vol. 7; /
Rosaceae	Novosieversia glacialis (Adams ex Fisch.) F.Bolle	Geum glaciale Adams ex Fisch.	T		Elven, R.  et al. 2003; /
Nymphaceae	Nuphar lutea (L.) Sm. subsp. polysepala (Engelm.) E.O.Beal	Nuphar lutea (L.) Sm. subsp. polysepala (Engelm.) E.O.Beal	F	FNA	
Nymphaceae	Nuphar polysepala Engelm.	Nuphar polysepala Engelm.	T	AK taxon list	
Nymphaceae	Nuphar variegatum Engelm.	Nuphar variegatum Engelm.	F	AK taxon list	
Nymphaceae	Nymphaea odorata Aiton	Nymphaea odorata Aiton	F	documented in Alaska by Stensvold 7093, NE of Sitka	Hitchcock et al. 1964; Hitchcock et al. 1964. Vascular Plants of the Pacific Northwest. University of Washington Press, 5 vols./
Nymphaceae	Nymphaea tetragona Georgi	Nymphaea tetragona Georgi	F	AK taxon list	
Apiaceae	Oenanthe sarmentosa C.Presl	Oenanthe sarmentosa C.Presl	F	AK taxon list	
Fabaceae	Onobrychis viciifolia Scop.	Onobrychis viciifolia Scop.	F		
Ophioglossaceae	Ophioglossum pusillum Raf.	Ophioglossum pusillum Raf.	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Ophioglossaceae	Ophioglossum vulgatum L.	Ophioglossum vulgatum L.	F	AK taxon list	
Ophioglossaceae	Ophioglossum vulgatum L. var. alaskanum (E.Britton) C.Chr.	Ophioglossum pusillum Raf.	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Araliaceae	Oplopanax horridus (Sm.) Miq.	Oplopanax horridus (Sm.) Miq.	T	AK taxon list	
Scrophulariaceae	Orthocarpus hispidus Benth.	Orthocarpus hispidus Benth.	T	AK taxon list	
Araceae	Orontium aquaticum L.	Orontium aquaticum L.	F	Thompson annos (CM)	
Orobanchaceae	Orobanche fasciculata Nutt.	Orobanche fasciculata Nutt.	T	AK taxon list	
Orobanchaceae	Orobanche uniflora L.	Orobanche uniflora L.	F	Welsh 74	Welsh, S. L. 1974; Anderson's Flora of Alaska and Adjacent Parts of Canada. Brigham Young University Press, Provo./
Orchidaceae	Orchis convallariaefolia Fisch. ex Lindl.	Limnorchis convallariaefolia (Fisch. ex Lindl.) Rydb.	T		Elven, R.  et al. 2003; /
Orchidaceae	Orchis obtusata Banks ex Pursh	Lysiella obtusata (Banks ex Pursh) Rydb.	T		Elven, R.  et al. 2003; /
Orchidaceae	Orchis rotundifolia Banks ex Pursh	Amerorchis rotundifolia (Banks ex Pursh) Hult始	T		Elven, R.  et al. 2003; /
Pyrolaceae	Orthilia secunda (L.) House	Orthilia secunda (L.) House	F	AK taxon list	
Pyrolaceae	Orthilia secunda (L.) House subsp. obtusata (Turcz.) B喞her	Orthilia secunda (L.) House subsp. obtusata (Turcz.) B喞her	T	AK taxon list	
Pyrolaceae	Orthilia secunda (L.) House subsp. secunda 	Orthilia secunda (L.) House subsp. secunda 	T		
Poaceae	Oryzopsis pungens (Torr.) Hitchc.	Oryzopsis pungens (Torr.) Hitchc.	F	AK taxon list	
Apiaceae	Osmorhiza chilensis Hook. & Arn.	Osmorhiza chilensis Hook. & Arn.	T	AK taxon list	
Apiaceae	Osmorhiza depauperata L.Ll.Phillips	Osmorhiza depauperata L.Ll.Phillips	T	AK taxon list	
Apiaceae	Osmorhiza purpurea (J.M.Coult. & Rose) Suksd.	Osmorhiza purpurea (J.M.Coult. & Rose) Suksd.	T	AK taxon list	
Ericaceae	Oxycoccus macrocarpus (Aiton) Pers.	Oxycoccus macrocarpus (Aiton) Pers.	F	AK taxon list	
Ericaceae	Oxycoccus microcarpum Turcz. ex Rupr.	Oxycoccus microcarpum Turcz. ex Rupr.	T	AK taxon list	
Ericaceae	Oxycoccus palustris Pers.	Oxycoccus palustris Pers.	F	AK taxon list	
Ranunculaceae	Oxygraphis glacialis (Fisch.) Bunge	Oxygraphis glacialis (Fisch.) Bunge	T	AK taxon list	
Polygonaceae	Oxyria digyna (L.) Hill	Oxyria digyna (L.) Hill	T	AK taxon list	
Fabaceae	Oxytropis arctobia Bunge	Oxytropis arctobia Bunge	F		
Fabaceae	Oxytropis arctica R.Br.	Oxytropis arctica R.Br.	F	AK taxon list	
Fabaceae	Oxytropis arctica R.Br. var. arctica 	Oxytropis arctica R.Br. var. arctica 	T		
Fabaceae	Oxytropis arctica R.Br. var. barnebyana S.L.Welsh	Oxytropis arctica R.Br. var. barnebyana S.L.Welsh	T	AK taxon list	
Fabaceae	Oxytropis arctica R.Br. var. koyukukensis (A.E.Porsild) S.L.Welsh	Oxytropis arctica R.Br. var. koyukukensis (A.E.Porsild) S.L.Welsh	T		
Fabaceae	Oxytropis arctica R.Br. subsp. arctica 	Oxytropis arctica R.Br. subsp. arctica 	F	Arctic Flora USSR	
Fabaceae	Oxytropis borealis DC.	Oxytropis borealis DC.	T	AK taxon list	
Fabaceae	Oxytropis borealis DC. var. viscida (Nutt. ex Torr. & A.Gray) S.L.Welsh	Oxytropis viscida Nutt.	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis bryophila (Greene) Jurtzev	Oxytropis bryophila (Greene) Jurtzev	T	AK taxon list	
Fabaceae	Oxytropis campestris (L.) DC.	Oxytropis campestris (L.) DC.	F	AK taxon list	
Fabaceae	Oxytropis campestris (L.) DC. subsp. gracilis (A.Nelson) Hult始	Oxytropis varians (Rydb.) K.Schum.	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis campestris (L.) DC. subsp. jordalii (A.E.Porsild) S.L.Welsh	Oxytropis jordalii A.E.Porsild	T	ALA Taxon List	ALA Taxon List; ALA Taxon List/
Fabaceae	Oxytropis campestris (L.) DC. subsp. roaldii (Ostenf.) Cody	Oxytropis arctica R.Br. var. arctica 	T	ALA Taxon List	ALA Taxon List; ALA Taxon List/
Fabaceae	Oxytropis campestris (L.) DC. var. varians (Rydb.) Barneby	Oxytropis varians (Rydb.) K.Schum.	T		
Fabaceae	Oxytropis czukotica Jurtzev	Oxytropis czukotica Jurtzev	T	Arctic Flora USSR	
Fabaceae	Oxytropis deflexa (Pall.) DC.	Oxytropis deflexa (Pall.) DC.	F	AK taxon list	
Fabaceae	Oxytropis deflexa (Pall.) DC. var. foliolosa (Hook.) Barneby	Oxytropis deflexa (Pall.) DC. subsp. foliolosa (Hook.) Cody	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis deflexa (Pall.) DC. var. sericea Torr. & A.Gray	Oxytropis deflexa (Pall.) DC. var. sericea Torr. & A.Gray	F	AK taxon list	
Fabaceae	Oxytropis deflexa (Pall.) DC. subsp. foliolosa (Hook.) Cody	Oxytropis deflexa (Pall.) DC. subsp. foliolosa (Hook.) Cody	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis falcata Bunge	Oxytropis falcata Bunge	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Fabaceae	Oxytropis glaberrima Hult始	Oxytropis bryophila (Greene) Jurtzev	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis glacialis Benth. ex Bunge	Oxytropis glacialis Benth. ex Bunge	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Fabaceae	Oxytropis glutinosa A.E.Porsild	Oxytropis glutinosa A.E.Porsild	F	AK taxon list	
Fabaceae	Oxytropis gorodkovii Jurtzev	Oxytropis gorodkovii Jurtzev	T	AK taxon list	
Fabaceae	Oxytropis huddelsonii A.E.Porsild	Oxytropis huddelsonii A.E.Porsild	T	AK taxon list	
Fabaceae	Oxytropis hyperborea A.E.Porsild	Oxytropis hyperborea A.E.Porsild	F	AK taxon list	
Fabaceae	Oxytropis jordalii A.E.Porsild	Oxytropis jordalii A.E.Porsild	T	AK taxon list	
Fabaceae	Oxytropis kobukensis S.L.Welsh	Oxytropis kobukensis S.L.Welsh	T	AK taxon list	
Fabaceae	Oxytropis kokrinensis A.E.Porsild	Oxytropis kokrinensis A.E.Porsild	T	AK taxon list	
Fabaceae	Oxytropis koyukukensis A.E.Porsild	Oxytropis arctica R.Br. var. koyukukensis (A.E.Porsild) S.L.Welsh	T	ALA Taxon List	ALA Taxon List; ALA Taxon List/
Fabaceae	Oxytropis maydelliana Trautv.	Oxytropis maydelliana Trautv.	T	AK taxon list	
Fabaceae	Oxytropis maydelliana Trautv. subsp. melanocephala (Hook.) A.E.Porsild	Oxytropis maydelliana Trautv. subsp. melanocephala (Hook.) A.E.Porsild	F		
Fabaceae	Oxytropis mertensiana Turcz.	Oxytropis mertensiana Turcz.	T	AK taxon list	
Fabaceae	Oxytropis middendorffii Trautv.	Oxytropis middendorffii Trautv.	F	Plant.Vas. USSR	
Fabaceae	Oxytropis nigrescens (Pall.) Fisch.	Oxytropis nigrescens (Pall.) Fisch.	F	AK taxon list	
Fabaceae	Oxytropis nigrescens (Pall.) Fisch. subsp. arctobia (Bunge) Hult始	Oxytropis nigrescens (Pall.) Fisch. subsp. arctobia (Bunge) Hult始	F	AK taxon list	
Fabaceae	Oxytropis nigrescens (Pall.) Fisch. subsp. bryophila (Greene) Hult始	Oxytropis bryophila (Greene) Jurtzev	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis nigrescens (Pall.) Fisch. subsp. lonchopoda (Barneby) Cody	Oxytropis nigrescens (Pall.) Fisch. subsp. lonchopoda (Barneby) Cody	F		
Fabaceae	Oxytropis nigrescens (Pall.) Fisch. subsp. pygmaea (Pall.) Hult始	Oxytropis gorodkovii Jurtzev	T		Elven, R.  et al. 2003; /
Fabaceae	Oxytropis ochrocephala Bunge	Oxytropis ochrocephala Bunge	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Fabaceae	Oxytropis revoluta Ledeb.	Oxytropis revoluta Ledeb.	F	AK taxon list	
Fabaceae	Oxytropis roaldii Ostenf.	Oxytropis arctica R.Br. var. arctica 	T	ALA Taxon List	ALA Taxon List; ALA Taxon List/
Fabaceae	Oxytropis scammaniana Hult始	Oxytropis scammaniana Hult始	T	AK taxon list	
Fabaceae	Oxytropis sericea Nutt.	Oxytropis sericea Nutt.	F	AK taxon list	
Fabaceae	Oxytropis sericea Nutt. var. spicata (Hook.) Barneby	Oxytropis sericea Nutt. var. spicata (Hook.) Barneby	F	AK taxon list	
Fabaceae	Oxytropis sheldonensis A.E.Porsild	Oxytropis sheldonensis A.E.Porsild	F	AK taxon list	
Fabaceae	Oxytropis sordida (Willd.) Pers.	Oxytropis arctica R.Br.	F	ALA Taxon List	ALA Taxon List; ALA Taxon List/
Fabaceae	Oxytropis sordida (Willd.) Pers. subsp. barnebyana (S.L.Welsh) Jurtzev	Oxytropis arctica R.Br. var. barnebyana S.L.Welsh	T	Rob's list	
Fabaceae	Oxytropis sordida (Willd.) Pers. subsp. murrayi Jurtzev	Oxytropis sordida (Willd.) Pers. subsp. murrayi Jurtzev	F	Isotype	
Fabaceae	Oxytropis  	Oxytropis  	F		
Fabaceae	Oxytropis splendens Douglas	Oxytropis splendens Douglas	T	AK taxon list	
Fabaceae	Oxytropis stracheyana Bunge	Oxytropis stracheyana Bunge	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Fabaceae	Oxytropis sublongipes Jurtzev	Oxytropis sublongipes Jurtzev	F	Arctic Flora USSR	
Fabaceae	Oxytropis tananensis Jurtzev	Oxytropis tananensis Jurtzev	T	B. Yurtsev	
Fabaceae	Oxytropis varians (Rydb.) K.Schum.	Oxytropis varians (Rydb.) K.Schum.	T	AK taxon list	
Fabaceae	Oxytropis vassilczenkoi Jurtzev	Oxytropis vassilczenkoi Jurtzev	F	Arctic Flora USSR	
Fabaceae	Oxytropis vassilczenkoi Jurtzev subsp. substepposa Jurtzev	Oxytropis vassilczenkoi Jurtzev subsp. substepposa Jurtzev	F	Arctic Flora USSR	
Fabaceae	Oxytropis viscida Nutt.	Oxytropis viscida Nutt.	T	AK taxon list	
Apiaceae	Pachypleurum alpinum Ledeb.	Pachypleurum alpinum Ledeb.	F	Arctic Flora USSR	
Asteraceae	Packera buekii Trock & T.M.Barkley	Packera buekii Trock & T.M.Barkley	F		
Asteraceae	Packera cana (Hook.) W.A.Weber & A.Love	Packera cana (Hook.) W.A.Weber & A.Love	F		
Asteraceae	Packera contermina (Greenm.) J.F.Bain	Packera lyallii (Klatt) J.F.Bain	F	Bain 2002	Bain 2002; Bain, J. F. 2002. Packera lyallii, a corrected name for Packera contermina (Asteraceae: Senecioneae). Novon 12: 437./
Asteraceae	Packera cymbalarioides (Nutt.) W.A.Weber & A.Love	Packera cymbalarioides (Nutt.) W.A.Weber & A.Love	F		
Asteraceae	Packera cymbalaria (Pursh) W.A.Weber & A.Love	Packera heterophylla (Fisch.) E.Wiebe	T		Elven, R.  et al. 2003; /
Asteraceae	Packera heterophylla (Fisch.) E.Wiebe	Packera heterophylla (Fisch.) E.Wiebe	T		
Asteraceae	Packera hyperborealis (Greenm.) A.Love & D.Love	Packera hyperborealis (Greenm.) A.Love & D.Love	T		
Asteraceae	Packera indecora (Greene) A.Love & D.Love	Packera indecora (Greene) A.Love & D.Love	T		
Asteraceae	Packera lyallii (Klatt) J.F.Bain	Packera lyallii (Klatt) J.F.Bain	F		
Asteraceae	Packera moresbiensis (Calder & R.L.Taylor) J.F.Bain	Packera subnuda Trock & T.M.Barkley var. moresbiensis (Calder & R.L.Taylor) Trock	T	Trock annos	Trock 2002; Trock, D. K. 2002. Annotations on ALA specimens/FNA Compositae; /
Asteraceae	Packera ogotorukensis (Packer) W.A.Weber & A.Love	Packera ogotorukensis (Packer) W.A.Weber & A.Love	T		
Asteraceae	Packera ovina (Greene) J.F.Bain	Packera ovina (Greene) J.F.Bain	F		Bain 1999; Bain, J. F. 1999. New combinations in Packera (Asteraceae) and lectotypification of Packera ovina. Novon 9(4):457-459./
Asteraceae	Packera paupercula (Michx.) W.A.Weber & A.Love	Packera paupercula (Michx.) W.A.Weber & A.Love	T		
Asteraceae	Packera pauciflora (Pursh) A.Love & D.Love	Packera pauciflora (Pursh) A.Love & D.Love	T		
Asteraceae	Packera resedifolia (Less.) A.Love & D.Love	Packera heterophylla (Fisch.) E.Wiebe	T		Elven, R.  et al. 2003; /
Asteraceae	Packera streptanthifolia (Greene) W.A.Weber & A.Love	Packera cymbalarioides (Nutt.) W.A.Weber & A.Love	F	Bain 2002	Bain 2002; Bain, J. F. 2002. Packera lyallii, a corrected name for Packera contermina (Asteraceae: Senecioneae). Novon 12: 437./
Asteraceae	Packera streptanthifolia (Greene) W.A.Weber & A.Love var. borealis (Torr. & A.Gray) Trock	Packera streptanthifolia (Greene) W.A.Weber & A.Love var. borealis (Torr. & A.Gray) Trock	F		
Asteraceae	Packera streptanthifolia (Greene) W.A.Weber & A.Love var. streptanthifolia 	Packera streptanthifolia (Greene) W.A.Weber & A.Love var. streptanthifolia 	F		
Asteraceae	Packera subnuda Trock & T.M.Barkley	Packera subnuda Trock & T.M.Barkley var. moresbiensis (Calder & R.L.Taylor) Trock	F	for Alaskan specimens	
Asteraceae	Packera subnuda Trock & T.M.Barkley var. moresbiensis (Calder & R.L.Taylor) Trock	Packera subnuda Trock & T.M.Barkley var. moresbiensis (Calder & R.L.Taylor) Trock	T		FNA Compositae; /
Saxifragaceae	Parnassia fimbriata K.D.Koenig	Parnassia fimbriata K.D.Koenig	T	AK taxon list	
Saxifragaceae	Parnassia kotzebuei Cham. & Schltdl.	Parnassia kotzebuei Cham. & Schltdl.	T	AK taxon list	
Saxifragaceae	Parnassia palustris L.	Parnassia palustris L.	F	AK taxon list	
Saxifragaceae	Parnassia palustris L. subsp. neogaea (Fernald) Hult始	Parnassia palustris L. subsp. neogaea (Fernald) Hult始	T	AK taxon list	
Papaveraceae	Papaver alaskanum Hult始	Papaver alaskanum Hult始	T	AK taxon list	
Papaveraceae	Papaver alaskanum Hult始 var. latiflobum Hult始	Papaver alaskanum Hult始	T		Elven, R.  et al. 2003; /
Papaveraceae	Papaver alaskanum Hult始 var. macranthum Hult始	Papaver macounii Greene subsp. macounii 	T		FNA 3; Flora of North America volume 3/
Papaveraceae	Papaver alaskanum Hult始 var. grandiflorum Hult始	Papaver alaskanum Hult始	T		Elven, R.  et al. 2003; /
Papaveraceae	Papaver alboroseum Hult始	Papaver alboroseum Hult始	T	AK taxon list	
Papaveraceae	Papaver alpinum L.	Papaver alpinum L.	F	European taxon	
Papaveraceae	Papaver anadyrense V.V.Petrovsky	Papaver anadyrense V.V.Petrovsky	F		
Papaveraceae	Papaver anjuicum Tolm.	Papaver anjuicum Tolm.	F		
Papaveraceae	Papaver atrovirens V.V.Petrovsky	Papaver atrovirens V.V.Petrovsky	F		
Papaveraceae	Papaver chionophilum V.V.Petrovsky	Papaver chionophilum V.V.Petrovsky	T		
Papaveraceae	Papaver coloradense Fedde	Papaver coloradense Fedde	F	Not recognized by FNA	
Papaveraceae	Papaver cornwallisensis D.Love	Papaver dahlianum Nordh. subsp. polare (Tolm.) T.V.Egorova	T		Elven, R.  et al. 2003; /
Papaveraceae	Papaver croceum 	Papaver croceum 	F	Not recognized by FNA	
Papaveraceae	Papaver czekanowskii Tolm.	Papaver czekanowskii Tolm.	F		
Papaveraceae	Papaver dahlianum Nordh.	Papaver radicatum Rottb. subsp. dahlianum (Nordh.) R穫del	F	plant of arctic Europe	
Papaveraceae	Papaver dahlianum Nordh. subsp. polare (Tolm.) T.V.Egorova	Papaver dahlianum Nordh. subsp. polare (Tolm.) T.V.Egorova	T		
Papaveraceae	Papaver denalii Gjaerev.	Papaver denalii Gjaerev.	F	AK taxon list	
Papaveraceae	Papaver freedmanianum D.Love	Papaver radicatum Rottb. subsp. kluanensis (D.Love) D.F.Murray	F	FNA	Kiger et al. draft; Kiger et al., FNA manuscript (chap. 19)/Kiger & Murray 1997; Kiger, R. W. and D. F. Murray. 1997. Papaver. Pages 323-333 in Flora North America Vol. 3. Oxford U. Press./
Papaveraceae	Papaver gorodkovii Tolm. & V.V.Petrovsky	Papaver gorodkovii Tolm. & V.V.Petrovsky	T		
Papaveraceae	Papaver hultenii auct.	Papaver shamurinii V.V.Petrovsky	T		Elven, R.  et al. 2003; /
Papaveraceae	Papaver hultenii Knaben var. salmonicolor Hult始	Papaver hultenii Knaben var. salmonicolor Hult始	F	AK taxon list	
Papaveraceae	Papaver keelei A.E.Porsild	Papaver macounii Greene subsp. discolor (Hult始) R穫del ex D.F.Murray	T	if vpapmacsdis is elevated to species rank, the correct name is vpapkee	Kiger et al. draft; Kiger et al., FNA manuscript (chap. 19)/
Papaveraceae	Papaver kluanensis D.Love	Papaver kluanensis D.Love	T		Elven, R.  et al. 2003; /
Papaveraceae	Papaver lapponicum (Tolm.) Nordh.	Papaver lapponicum (Tolm.) Nordh.	F	AK taxon list	
Papaveraceae	Papaver lapponicum (Tolm.) Nordh. subsp. labradoricum (Fedde) Knaben	Papaver radicatum Rottb. subsp. radicatum 	F	FNA	Kiger & Murray 1997; Kiger, R. W. and D. F. Murray. 1997. Papaver. Pages 323-333 in Flora North America Vol. 3. Oxford U. Press./
